,time,Global_Temp
265,1902-02-15,-0.00077515026
266,1902-03-15,-0.38283446
267,1902-04-15,-0.21090375
268,1902-05-15,-0.26024655
269,1902-06-15,-0.22521256
270,1902-07-15,-0.15378489
271,1902-08-15,-0.19360526
272,1902-09-15,-0.21980081
273,1902-10-15,-0.24150448
274,1902-11-15,-0.37872025
275,1902-12-15,-0.41439986
276,1903-01-15,-0.21025066
277,1903-02-15,0.10321268
278,1903-03-15,-0.048165306
279,1903-04-15,-0.3006549
280,1903-05-15,-0.27544475
281,1903-06-15,-0.2916094
282,1903-07-15,-0.19767393
283,1903-08-15,-0.30016187
284,1903-09-15,-0.3349333
285,1903-10-15,-0.29126677
286,1903-11-15,-0.1774716
287,1903-12-15,-0.2711984
288,1904-01-15,-0.46596625
289,1904-02-15,-0.5113711
290,1904-03-15,-0.21594825
291,1904-04-15,-0.25944495
292,1904-05-15,-0.3272034
293,1904-06-15,-0.27276236
294,1904-07-15,-0.3557903
295,1904-08-15,-0.28668028
296,1904-09-15,-0.38651022
297,1904-10-15,-0.24143407
298,1904-11-15,-0.015040795
299,1904-12-15,-0.20681791
300,1905-01-15,-0.23789762
301,1905-02-15,-0.3729761
302,1905-03-15,0.06071308
303,1905-04-15,-0.095230676
304,1905-05-15,-0.13442011
305,1905-06-15,-0.1888731
306,1905-07-15,-0.18774058
307,1905-08-15,-0.07719929
308,1905-09-15,-0.091083236
309,1905-10-15,-0.15491903
310,1905-11-15,0.03889292
311,1905-12-15,-0.085156925
312,1906-01-15,-0.35530293
313,1906-02-15,-0.23940781
314,1906-03-15,-0.048311077
315,1906-04-15,0.09495343
316,1906-05-15,-0.113561355
317,1906-06-15,-0.03264108
318,1906-07-15,-0.117789835
319,1906-08-15,-0.00709007
320,1906-09-15,-0.12260275
321,1906-10-15,-0.0054413597
322,1906-11-15,-0.23989153
323,1906-12-15,0.028928667
324,1907-01-15,-0.43478894
325,1907-02-15,-0.37379602
326,1907-03-15,-0.13707049
327,1907-04-15,-0.17366946
328,1907-05-15,-0.3170819
329,1907-06-15,-0.26023576
330,1907-07-15,-0.24766973
331,1907-08-15,-0.22556551
332,1907-09-15,-0.21002501
333,1907-10-15,-0.03641425
334,1907-11-15,-0.29158595
335,1907-12-15,-0.41784295
336,1908-01-15,-0.4100213
337,1908-02-15,-0.060530532
338,1908-03-15,-0.41397244
339,1908-04-15,-0.27224016
340,1908-05-15,-0.16365536
341,1908-06-15,-0.13142411
342,1908-07-15,-0.13959788
343,1908-08-15,-0.26234952
344,1908-09-15,-0.15316162
345,1908-10-15,-0.21508472
346,1908-11-15,-0.3772256
347,1908-12-15,-0.39427438
348,1909-01-15,-0.7359932
349,1909-02-15,-0.2910811
350,1909-03-15,-0.41338128
351,1909-04-15,-0.4240113
352,1909-05-15,-0.3707009
353,1909-06-15,-0.3138746
354,1909-07-15,-0.24662817
355,1909-08-15,-0.14283933
356,1909-09-15,-0.22606109
357,1909-10-15,-0.206216
358,1909-11-15,-0.1745342
359,1909-12-15,-0.43311095
360,1910-01-15,-0.35147232
361,1910-02-15,-0.20218918
362,1910-03-15,-0.35810536
363,1910-04-15,-0.29047906
364,1910-05-15,-0.15539032
365,1910-06-15,-0.2312259
366,1910-07-15,-0.18888275
367,1910-08-15,-0.17265579
368,1910-09-15,-0.21568675
369,1910-10-15,-0.20356554
370,1910-11-15,-0.38940418
371,1910-12-15,-0.5632246
372,1911-01-15,-0.59534144
373,1911-02-15,-0.38147143
374,1911-03-15,-0.4445344
375,1911-04-15,-0.3187121
376,1911-05-15,-0.3037628
377,1911-06-15,-0.2624621
378,1911-07-15,-0.214777
379,1911-08-15,-0.22511654
380,1911-09-15,-0.24957561
381,1911-10-15,-0.027351126
382,1911-11-15,-0.0698275
383,1911-12-15,-0.10563329
384,1912-01-15,-0.13637806
385,1912-02-15,-0.13756035
386,1912-03-15,-0.3610964
387,1912-04-15,-0.013157797
388,1912-05-15,-0.095054716
389,1912-06-15,-0.06431261
390,1912-07-15,-0.37715507
391,1912-08-15,-0.463881
392,1912-09-15,-0.4499079
393,1912-10-15,-0.5064411
394,1912-11-15,-0.20581478
395,1912-12-15,-0.30260208
396,1913-01-15,-0.42873493
397,1913-02-15,-0.31161058
398,1913-03-15,-0.21053043
399,1913-04-15,-0.24680097
400,1913-05-15,-0.27660722
401,1913-06-15,-0.30400753
402,1913-07-15,-0.28139094
403,1913-08-15,-0.2281657
404,1913-09-15,-0.21055947
405,1913-10-15,-0.22630925
406,1913-11-15,-0.14794524
407,1913-12-15,0.14303872
408,1914-01-15,-0.02810886
409,1914-02-15,-0.046406783
410,1914-03-15,-0.25850648
411,1914-04-15,-0.21924049
412,1914-05-15,-0.120613426
413,1914-06-15,-0.13511121
414,1914-07-15,-0.17899382
415,1914-08-15,-0.04895111
416,1914-09-15,-0.10444226
417,1914-10-15,0.0808303
418,1914-11-15,-0.12308272
419,1914-12-15,0.15881391
420,1915-01-15,-0.2599565
421,1915-02-15,-0.048972037
422,1915-03-15,-0.04484032
423,1915-04-15,0.18670934
424,1915-05-15,0.069620095
425,1915-06-15,-0.10825343
